,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0
35,4.32098765432,5.26315789474,12.5,,14.2857142857,,,,
226,5.24691358025,2.63157894737,12.5,,,,,,
2355,5.55555555556,5.26315789474,,25.0,,,,,
2631,5.24691358025,,,,14.2857142857,,,,
4247,4.32098765432,7.89473684211,,,,25.0,,,
4257,5.24691358025,7.89473684211,,,,25.0,,,
4258,4.32098765432,5.26315789474,,25.0,,,,,
5559,4.93827160494,7.89473684211,,,14.2857142857,,,,
10073,4.93827160494,7.89473684211,12.5,,,,,,
11836,4.62962962963,2.63157894737,,,28.5714285714,,,,
11918,5.24691358025,5.26315789474,25.0,,,,,,
13805,5.55555555556,5.26315789474,,,,,,,
22797,4.93827160494,5.26315789474,12.5,,14.2857142857,,,,
85420,5.55555555556,5.26315789474,,,,,,,
87818,3.7037037037,5.26315789474,,25.0,14.2857142857,,,,
137106,4.93827160494,5.26315789474,,,,25.0,,,
153518,4.32098765432,7.89473684211,,25.0,,,,100.0,
309810,5.86419753086,2.63157894737,,,,,,,
324849,5.86419753086,2.63157894737,12.5,,,,100.0,,
416252,5.24691358025,2.63157894737,12.5,,,25.0,,,100.0
