release_date,genre_ids,id,title,popularity,vote_count,vote_average
11/25/1998,35.0,137106,Beach Movie,1.01314,1,6.0
10/27/2017,35.0,4257,Movie Dudes,1.012026,0,0.0
11/27/1981,35.0,22797,Number Please? The Movie,1.1,0,0.0
1/1/1992,35.0,2631,Movie Madness,1.009,0,0.0
7/4/1931,35.0,10073,Movie-Town,1.023508,0,0.0
10/25/2005,27.0,416252,Zombie Movie,1.005616,4,6.8
9/18/2009,12.0,11836,"Road, Movie",1.004562,0,0.0
5/8/2015,99.0,85420,Arab Movie,1.003944,0,0.0
4/20/2013,35.0,13805,Blunt Movie,1.003541,1,2.0
5/10/2013,35.0,4258,Short Movie,1.002713,1,10.0
11/7/2008,35.0,2355,Private Valentine: Blonde & Dangerous,1.477924,23,5.5
2/14/1987,53.0,87818,Sukeban Deka The Movie,1.089259,0,0.0
6/1/2013,10749.0,324849,Awesome Movie,1.001572,0,0.0
1/1/2008,27.0,309810,Splatter Movie,1.001517,0,0.0
12/29/2006,35.0,22797,Big Movie,1.000707,2,5.8
9/18/2008,27.0,226,Monster Movie,1.000642,1,5.0
3/25/2011,12.0,2631,The Suite Life Movie,1.4751,79,5.4
4/7/1958,99.0,416252,A Movie,1.000558,10,7.3
7/9/1944,35.0,13805,Movie Pests,1.000327,0,0.0
8/22/2004,35.0,4247,Elevator Movie,1.000305,1,5.0
2/20/1936,35.0,87818,Movie Maniacs,1.000294,3,4.7
6/9/2004,35.0,5559,Real Movie,1.000287,0,0.0
9/23/1932,35.0,324849,Movie Crazy,1.000276,1,0.0
1/1/2001,35.0,11918,Home Movie,1.000261,1,6.0
1/1/2001,99.0,22797,Ouarzazate Movie,1.000156,0,0.0
2/3/1974,18.0,85420,Road Movie,1.00004,1,7.0
1/1/1985,10402.0,13805,Worm Movie,1.000005,1,5.0
8/3/2017,35.0,137106,The Emoji Movie,1.46408,0,0.0
12/16/2010,35.0,4257,Klown,1.311863,39,6.4
2/9/2013,16.0,22797,Star Driver the Movie,1.067215,0,0.0
5/8/1939,10402.0,35,Movie-Mania,1.000143,0,0.0
8/21/2015,10751.0,2631,Blinky Bill the Movie,1.422618,5,5.8
11/4/2016,16.0,10073,Majestic Prince Movie,1.043455,0,0.0
4/20/2010,16.0,416252,The Drawn Together Movie: The Movie!,1.268862,32,6.5
10/9/2014,18.0,11836,The Movie about Alekseev,1.034567,6,6.0
9/18/2015,16.0,85420,Haikyuu!! Movie 2: Shousha to Haisha,1.941387,0,0.0
3/8/2003,35.0,13805,The Movie Hero,1.032966,5,6.0
9/5/2013,10402.0,2355,Ruk Jub Jai - The Movie,1.267412,1,6.0
7/21/2017,16.0,4247,Seitokai Yakuindomo Movie,1.023891,0,0.0
11/11/2014,28.0,5559,Moto 6: The Movie,1.023562,0,0.0
5/18/2012,99.0,153518,Indie Game: The Movie,1.369815,172,7.4
2/22/2016,99.0,324849,The Movie about Copyswede,1.014281,0,0.0
5/3/2016,12.0,11918,1985 The Movie,1.007333,1,9.0
12/20/2013,16.0,137106,Moshi Monsters: The Movie,1.006957,1,6.5
2/22/2014,28.0,4257,Kamen Teacher the Movie,1.006777,0,0.0
3/6/2009,10402.0,226,Orps: The Movie,1.353575,2,4.8
3/2/2010,27.0,2631,Dead Rising: The Movie,1.005108,1,6.0
11/27/2015,14.0,10073,Heavysaurs the Movie,1.004973,0,0.0
5/5/2007,35.0,416252,The Yakiniku Movie: Bulgogi,1.004224,0,0.0
10/21/2014,12.0,11836,Shred Bots The Movie,1.004044,0,0.0
9/13/2014,16.0,85420,Cardfight!! Vanguard the Movie,1.003702,0,0.0
1/20/2011,53.0,2355,The 4 Movie,1.003219,1,6.0
12/23/1999,16.0,4247,Kochikame: The Movie,1.002781,0,0.0
3/16/2007,18.0,5559,Lola: The Movie,1.002511,3,4.0
3/6/2009,10402.0,153518,Orps: The Movie,1.353575,2,4.8
7/10/2013,99.0,324849,Israel: A Home Movie,1.00232,0,0.0
11/9/2013,18.0,309810,Gekijouban Bad Boys J: Saigo ni mamorumono,1.002163,0,0.0
4/26/2014,18.0,11918,Partners: The Movie III,1.002161,0,0.0
11/21/2013,18.0,137106,Novel Meets Movie,1.002139,0,0.0
1/1/1977,10402.0,4257,Grateful Dead: The Grateful Dead Movie,1.002127,6,7.8
3/14/1986,878.0,22797,Choushinsei Flashman: The Movie,1.002025,0,0.0
5/1/2008,80.0,35,Aibou the Movie,1.001574,0,0.0
1/1/1995,28.0,10073,Prisoner Maria: The Movie,1.001368,1,6.0
4/8/2011,18.0,11836,Storm the Animated Movie,1.001181,6,7.3
11/24/2005,18.0,85420,Rainbow Boys: The Movie,1.001133,0,0.0
10/10/2009,27.0,13805,Unrated: The Movie,1.001119,0,0.0
9/9/2008,10751.0,2355,Cats: The Movie!,1.000899,0,0.0
12/23/2010,80.0,87818,Partners: The Movie II,1.000858,0,0.0
6/2/2010,18.0,5559,Neko Taxi the Movie,1.000717,0,0.0
4/4/2006,35.0,153518,Mobile Detective: The Movie,1.000671,0,0.0
12/9/2008,10402.0,324849,A simple movie,1.000572,0,0.0
7/14/2006,10769.0,309810,Red: The Movie,1.000566,1,4.0
4/12/2002,35.0,11918,Fun Movie,1.000412,0,0.0
7/25/1986,16.0,137106,Robotech: The Movie,1.000345,1,4.0
5/1/2005,99.0,4257,One: The Movie,1.000287,0,0.0
8/2/1997,99.0,22797,Timeless Bottomless Bad Movie,1.000148,1,8.0
1/1/1978,35.0,35,Those Wonderful Movie Cranks,1.000037,2,5.3
7/9/1987,10402.0,226,Movie Clip,1.000006,0,0.0
8/10/1977,35.0,416252,The Kentucky Fried Movie,1.344077,51,6.3
6/24/1997,35.0,11836,Bimbo Movie Bash,1.344048,1,2.0
10/29/1985,10751.0,85420,Santa Claus: The Movie,1.332134,48,5.9
6/6/1990,16.0,13805,Jetsons: The Movie,1.326236,26,5.8
3/27/1997,28.0,4258,Turbo: A Power Rangers Movie,1.696029,45,4.7
2/7/2019,10751.0,2355,The Lego Movie Sequel,1.321151,10,0.0
4/4/2017,35.0,4247,Si Juki The Movie,1.314668,0,0.0
10/1/1992,16.0,87818,Tom and Jerry: The Movie,1.641416,61,5.8
7/19/2013,10751.0,5559,Teen Beach Movie,1.307018,162,6.0
1/1/2006,10751.0,153518,Bratz: Babyz - The Movie,1.628769,2,4.0
2/16/1995,35.0,324849,The Brady Bunch Movie,1.266848,68,5.8
9/1/2015,35.0,309810,Regular Show: The Movie,1.264639,28,7.4
6/28/2002,16.0,11918,Hey Arnold! The Movie,1.25735,44,5.6
3/22/2000,35.0,137106,Otto - The Disaster Movie,1.148564,12,4.5
10/25/2002,10749.0,4257,The Dog Trick,1.129902,6,4.8
9/15/2005,35.0,22797,The Cabin Movie,1.244054,1,0.0
2/24/2017,99.0,35,Robin Schulz - The Movie,1.135225,0,0.0
7/24/2016,35.0,226,Looking: The Movie,1.23623,50,7.0
5/30/2009,18.0,10073,Rookies the Movie: Graduation,1.143124,2,2.5
4/17/1993,28.0,416252,Gosei Sentai Dairanger: The Movie,1.142514,3,3.0
7/18/1980,28.0,11836,Cheech & Chong's Next Movie,1.553939,50,6.2
5/19/2009,35.0,85420,Steppin: The Movie,1.216226,3,4.3
3/10/2012,35.0,13805,Big Time Movie,1.215551,15,6.8
12/20/2013,35.0,4258,The Harry Hill Movie,1.212065,9,4.0
12/20/2002,16.0,2355,The Wild Thornberrys Movie,1.207741,34,5.8
4/28/2006,35.0,4247,Another Gay Movie,1.205973,39,5.3
10/6/1995,28.0,87818,Macross Plus: Movie Edition,1.199455,26,7.2
1/27/2004,28.0,5559,Comic Book: The Movie,1.199035,2,6.0
12/6/2014,28.0,153518,The Last: Naruto the Movie,1.520413,111,7.4
8/6/1994,16.0,324849,Street Fighter II: The Animated Movie,1.196784,23,6.4
7/18/2006,16.0,309810,Queer Duck: The Movie,1.195493,4,4.8
1/22/1984,12.0,11918,Airwolf: The Movie,1.188266,20,5.3
3/17/2000,14.0,137106,Digimon: The Movie,1.184305,46,6.0
2/6/2017,99.0,4257,The MovieLand Movie,1.068515,0,0.0
7/25/2014,35.0,22797,The Fluffy Movie,1.177982,36,6.8
11/19/2013,28.0,35,Moto 5: The Movie,1.176871,0,0.0
1/27/2017,10749.0,226,Mischievous Kiss The Movie: Campus,1.100159,0,0.0
8/8/2012,28.0,2631,Nitro Circus: The Movie,1.172611,35,6.4
2/18/2017,28.0,10073,Sword Art Online The Movie: Ordinal Scale,1.638388,6,7.8
1/10/1999,16.0,416252,Batman Beyond: The Movie,1.170537,30,7.3
3/23/1985,12.0,11836,The Care Bears Movie,1.167844,22,5.3
10/27/2017,878.0,85420,Untitled Cloverfield Movie,1.166729,1,0.0
6/17/1977,878.0,13805,J.A.K.Q. Dengekitai: The Movie,1.07085,0,0.0
3/1/2001,28.0,4258,Gerak Khas The Movie,1.163096,0,0.0
7/11/2009,35.0,2355,Gokusen The Movie,1.084511,0,0.0
1/1/2009,99.0,4247,Best Worst Movie,1.158335,40,7.4
9/29/1971,18.0,5559,The Last Movie,1.153675,4,6.5
6/24/2015,27.0,153518,E.N.D. - The Movie,1.007785,1,10.0
7/16/1987,35.0,324849,Otto - The New Movie,1.058297,8,4.3
6/7/2008,53.0,309810,Escape Captivity:  The Movie,1.058297,1,6.0
11/7/1985,28.0,11918,Grunt! The Wrestling Movie,1.15,1,7.0
5/3/2017,28.0,137106,Last Cop The Movie,1.149041,0,0.0
10/7/2003,16.0,4257,Caillou's Holiday Movie,1.004039,0,0.0
8/13/2004,12.0,22797,Yu-Gi-Oh! The Movie,1.478154,55,5.3
10/2/2007,16.0,10073,Elf Bowling the Movie,1.142794,0,0.0
11/22/2014,35.0,11836,Hello Ladies: The Movie,1.142433,47,6.4
1/1/1988,35.0,85420,Bar-B-Que Movie,1.000033,0,0.0
4/1/2016,35.0,2355,Rescue Dogs The Movie,1.139275,2,4.0
4/30/1998,18.0,4247,Night Calls: The Movie,1.1354,0,0.0
2/21/2002,35.0,87818,Anak Mami The Movie,1.132571,0,0.0
2/5/2014,35.0,5559,ABNKKBSNPLAKo?! The Movie,1.127241,0,0.0
1/23/2016,28.0,153518,Nobunaga Concerto: The Movie,1.123087,2,7.0
3/16/1973,878.0,324849,Kamen Rider V3: The Movie,1.05,0,0.0
6/25/2014,14.0,309810,Under - The Movie,1.016005,0,0.0
8/28/2009,12.0,11918,Wizards of Waverly Place: The Movie,1.895703,195,5.8
8/1/1987,16.0,137106,G.I. Joe: The Movie,1.38747,14,6.6
8/6/2006,35.0,4257,National Lampoon's TV: The Movie,1.02856,4,4.3
8/7/2009,35.0,22797,Winnie & Karina - The Movie,1.062501,2,5.5
5/1/1991,35.0,35,F.A.R.T.: The Movie,1.010125,1,3.0
5/14/1997,18.0,226,Calvento Files The Movie,1.114471,0,0.0
1/1/2008,16.0,2631,Sundri - The Movie,1.009556,0,0.0
1/1/2018,28.0,10073,Kung Fury II: The Movie,1.042422,0,0.0
8/22/1987,12.0,416252,The Garbage Pail Kids Movie,1.407212,15,2.9
6/13/2003,10770.0,85420,The Even Stevens Movie,1.110026,39,5.4
9/16/2013,16.0,13805,Dick Figures: The Movie,1.109964,6,6.4
1/1/1963,99.0,4258,Ingmar Bergman Makes a Movie,1.021471,1,8.0
9/19/2015,99.0,4247,Voëlvry - The Movie,1.004335,0,0.0
6/5/2015,12.0,87818,TubeClash - The Movie,1.00413,1,10.0
3/4/2005,35.0,5559,My Big Fat Independent Movie,1.397227,3,3.0
8/18/2000,18.0,153518,Steal This Movie,1.105709,10,6.1
4/4/2010,99.0,324849,The 'Socalled' Movie,1.001953,1,5.0
10/31/2006,99.0,22797,PEZheads - The Movie,1.00059,0,0.0
1/4/1997,10749.0,2631,T.G.I.S.: The Movie,1.00035,0,0.0
11/11/2011,18.0,416252,Sailor Moon the Movie,1.103659,0,0.0
12/31/1993,99.0,13805,Quicksand: The Movie,1.00015,1,9.0
1/1/1996,28.0,4258,R.I.O.T.: The Movie,1.000144,1,4.0
6/30/1995,28.0,5559,Mighty Morphin Power Rangers: The Movie,1.858924,108,5.3
8/30/2013,99.0,153518,American Made Movie,1.100121,1,6.5
4/15/1995,878.0,324849,Choriki Sentai Ohranger: The Movie,1.02679,0,0.0
4/9/1992,35.0,309810,German Fried Movie,1.1,2,1.0
6/6/1977,35.0,11918,A Movie and Breakfast,1.00675,0,0.0
8/28/2015,28.0,4257,Yowamushi Pedal: The Movie,1.006311,2,9.0
2/14/2014,35.0,22797,ゲームセンターCX: THE MOVIE,1.002505,0,0.0
2/2/2012,9648.0,35,Park Road - the Movie,1.001772,2,3.3
6/10/2010,99.0,226,Salewa Rockshow - The Movie,1.000836,0,0.0
5/31/2006,35.0,2631,Noo Hin - The Movie,1.000457,1,5.0
8/28/1986,35.0,10073,A King and His Movie,1.000332,2,2.0
5/9/1987,12.0,416252,Treasure Island: The Movie,1.000025,0,0.0
12/25/1988,10751.0,11836,Darfinkar & Donickar: The Movie,1.00001,2,7.0
1/1/1989,28.0,85420,Dog City: The Movie,1.088415,0,0.0
2/7/2008,35.0,13805,Dunia Baru The Movie,1.086845,0,0.0
10/4/2002,28.0,4258,Jonah: A VeggieTales Movie,1.085547,20,6.2
12/23/2015,35.0,2355,The PHD Movie 2,1.085249,0,0.0
12/7/2013,28.0,4247,Lupin the Third vs. Detective Conan: The Movie,1.828767,29,6.3
10/18/2016,35.0,5559,Undecided: The Movie,1.083917,0,0.0
2/21/2013,35.0,153518,The Hardy Bucks Movie,1.081802,3,5.2
4/28/2014,99.0,324849,Giuseppe Makes a Movie,1.081514,4,6.4
11/26/2011,35.0,309810,Kaibutsu-kun: The Movie,1.030041,0,0.0
8/21/2015,35.0,11918,The Bad Education Movie,1.080599,34,5.3
4/14/2016,35.0,137106,F#cking Telemarketers The Movie!,1.010719,0,0.0
9/18/2010,35.0,4257,FRED: The Movie,1.078548,21,3.7
2/2/1970,18.0,22797,The Movie Murderer,1.0785,1,7.5
7/24/2015,35.0,35,Smosh: The Movie,1.075899,74,5.2
6/3/2008,10751.0,226,Carsten & Gitte's Movie Madness,1.00641,0,0.0
12/31/2015,35.0,2631,Movie Mind Machine,1.074441,0,0.0
5/3/2014,12.0,10073,My Little Nightmare: The Movie,1.006167,0,0.0
9/12/2008,35.0,416252,Gym Teacher: The Movie,1.074119,2,3.0
1/21/2016,16.0,11836,The Tayo Movie: Mission Ace,1.005573,0,0.0
11/28/2014,16.0,85420,Balgar: The Movie,1.003587,4,6.8
5/14/2012,18.0,4258,Made In Denmark: The Movie,1.001195,0,0.0
12/31/2017,10749.0,2355,Mischievous Kiss The Movie: Propose,1.001031,0,0.0
7/14/1978,16.0,4247,Gatchaman the Movie,1.000822,1,10.0
7/12/1980,878.0,87818,Denshi Sentai Denziman: The Movie,1.000554,0,0.0
4/16/1994,28.0,5559,Ninja Sentai Kakuranger: The Movie,1.000298,0,0.0
3/17/1989,878.0,153518,Kousoku Sentai Turboranger: the Movie,1.000017,0,0.0
3/15/1985,878.0,309810,Dengeki Sentai Changeman: The Movie,1.0,0,0.0
7/26/1975,878.0,11918,Himitsu Sentai Gorenger: The Movie,1.0,0,0.0
3/12/1983,878.0,137106,Kagaku Sentai Dynaman: The Movie,1.0,0,0.0
4/20/2002,28.0,4257,eX-Driver the Movie,1.015837,0,0.0
5/3/1990,35.0,35,Tales from the Darkside: The Movie,1.783018,75,5.9
1/1/2006,18.0,226,Mushi-Shi: The Movie,1.011651,7,6.3
8/1/2016,10751.0,2631,Odd Squad: The Movie,1.056496,0,0.0
7/27/2014,18.0,10073,GThai Movie 6: The Ghost of Pranakong,1.771381,0,0.0
10/6/2006,28.0,11836,Trailer Park Boys: The Movie,1.325862,41,6.8
8/21/2009,35.0,85420,The World's Most Violent Movie,1.001415,0,0.0
6/25/2010,18.0,13805,This Movie Is Broken,1.050617,5,3.9
7/22/1978,28.0,4258,Spider-Man The Movie,1.000182,2,6.0
12/29/1981,16.0,2355,Space Warrior Baldios: The Movie,1.000035,2,6.5
10/24/2000,16.0,4247,Sin: The Movie,1.048513,0,0.0
6/25/2004,27.0,153518,The Last Horror Movie,1.044793,8,5.8
