release_date,genre_ids,id,title,popularity,vote_count,vote_average
376,11/28/2014,16.0,85420,Balgar: The Movie,1.003587,4,6.8
377,6/30/1994,,13805,Movie Days,1.002003,2,5.5
378,5/14/2012,18.0,4258,Made In Denmark: The Movie,1.001195,0,0.0
379,12/31/2017,10749.0,2355,Mischievous Kiss The Movie: Propose,1.001031,0,0.0
380,7/14/1978,16.0,4247,Gatchaman the Movie,1.000822,1,10.0
381,7/12/1980,878.0,87818,Denshi Sentai Denziman: The Movie,1.000554,0,0.0
382,4/16/1994,28.0,5559,Ninja Sentai Kakuranger: The Movie,1.000298,0,0.0
383,3/17/1989,878.0,153518,Kousoku Sentai Turboranger: the Movie,1.000017,0,0.0
384,,,324849,In Exile: A Family Movie,1.0,0,0.0
385,3/15/1985,878.0,309810,Dengeki Sentai Changeman: The Movie,1.0,0,0.0
386,7/26/1975,878.0,11918,Himitsu Sentai Gorenger: The Movie,1.0,0,0.0
387,3/12/1983,878.0,137106,Kagaku Sentai Dynaman: The Movie,1.0,0,0.0
388,4/20/2002,28.0,4257,eX-Driver the Movie,1.015837,0,0.0
389,4/20/2016,,22797,NFG the Movie,1.063867,0,0.0
390,5/3/1990,35.0,35,Tales from the Darkside: The Movie,1.783018,75,5.9
391,1/1/2006,18.0,226,Mushi-Shi: The Movie,1.011651,7,6.3
392,8/1/2016,10751.0,2631,Odd Squad: The Movie,1.056496,0,0.0
393,7/27/2014,18.0,10073,GThai Movie 6: The Ghost of Pranakong,1.771381,0,0.0
394,2/25/2012,,416252,It's Not a Cowboy Movie,1.005192,1,5.0
395,10/6/2006,28.0,11836,Trailer Park Boys: The Movie,1.325862,41,6.8
396,8/21/2009,35.0,85420,The World's Most Violent Movie,1.001415,0,0.0
397,6/25/2010,18.0,13805,This Movie Is Broken,1.050617,5,3.9
398,7/22/1978,28.0,4258,Spider-Man The Movie,1.000182,2,6.0
399,12/29/1981,16.0,2355,Space Warrior Baldios: The Movie,1.000035,2,6.5
400,10/24/2000,16.0,4247,Sin: The Movie,1.048513,0,0.0
401,1/1/1987,,87818,Robotix The Movie,1.047762,2,5.5
402,,,5559,The Airblaster Movie,1.045,0,0.0
403,6/25/2004,27.0,153518,The Last Horror Movie,1.044793,8,5.8
404,6/13/1982,,324849,Snow: The Movie,1.043875,0,0.0
405,7/28/2012,14.0,309810,Naruto Shippuden the Movie: Road to Ninja,1.746046,56,7.4
406,6/8/2001,12.0,11918,Jett Jackson: The Movie,1.042141,3,4.2
407,5/11/2016,99.0,137106,Brexit: The Movie,1.042062,3,6.3
408,2/28/2015,99.0,4257,The Woods Movie,1.039931,0,0.0
409,2/13/2000,18.0,22797,Homicide: The Movie,1.039548,4,3.9
410,10/5/2017,12.0,35,My Little Pony: The Movie,1.305122,0,0.0
411,1/29/2013,35.0,226,Classic Movie Bloopers: Uncensored,1.037346,1,7.5
412,10/15/2015,35.0,2631,Dumb Criminals: The Movie,1.033651,4,5.0
413,1/1/2016,99.0,10073,That Vitamin Movie,1.033643,0,0.0
414,1/17/1986,35.0,416252,Heathcliff: The Movie,1.031275,1,7.0
415,,,11836,Still a Teen Movie,1.03,0,0.0
416,9/12/2009,28.0,85420,Wangan Midnight: The Movie,1.029766,5,6.2
417,3/12/2015,27.0,13805,Violent Shit: the Movie,1.028281,3,3.7
418,11/30/2016,35.0,4258,Uno: The Movie,1.027978,5,9.2
419,3/8/2014,35.0,2355,Eternity: The Movie,1.027294,5,2.1
420,1/1/2010,28.0,4247,Ghetto Stories: The Movie,1.026883,0,0.0
421,4/18/2013,16.0,87818,Cheech & Chong's Animated Movie,1.28959,8,4.3
422,12/7/2016,28.0,5559,Shenmue II The Movie,1.025375,0,0.0
423,1/1/2000,35.0,153518,Redwall The Movie,1.025014,1,7.0
424,11/29/2012,35.0,324849,Sepah The Movie,1.024857,0,0.0
425,7/15/2001,35.0,309810,Sex Court: The Movie,1.023214,0,0.0
426,6/6/2013,18.0,11918,Coboy Junior: The Movie,1.02297,0,0.0
427,11/7/2015,53.0,137106,Mozu The Movie,1.243824,0,0.0
428,5/25/2002,28.0,4257,Gerak Khas The Movie II,1.285077,0,0.0
429,11/24/2016,35.0,22797,Lulu the Movie,1.021157,1,6.0
430,12/7/2001,16.0,35,Christmas Carol: The Movie,1.020895,15,4.6
431,8/3/1990,12.0,226,DuckTales: The Movie - Treasure of the Lost Lamp,1.910806,142,6.6
432,11/18/2016,,2631,The Road Movie,1.020702,0,0.0
433,11/4/2000,10751.0,10073,The Growing Pains Movie,1.020188,2,4.5
434,10/21/2016,878.0,416252,Horror Hotel the Movie,1.020168,2,6.0
435,3/3/2016,28.0,11836,BoBoiBoy: The Movie,1.020088,0,0.0
436,3/20/2013,16.0,85420,Bola Kampung: The Movie,1.019953,0,0.0
437,8/9/2009,27.0,13805,Zombie Girl: The Movie,1.019693,7,6.1
438,11/8/2016,99.0,4258,MOTO 8: The Movie,1.018803,0,0.0
439,5/29/2015,35.0,2355,Bigfoot The Movie,1.018257,2,0.0
440,5/18/2013,,4247,Another Dirty Movie,1.017049,0,0.0
441,6/4/2013,18.0,87818,Coboy Junior The Movie,1.016991,0,0.0
442,7/12/2011,,5559,Not Another B Movie,1.016364,2,4.0
443,3/8/2014,99.0,153518,Sex(ed): The Movie,1.016234,0,0.0
444,8/6/1982,28.0,324849,The Pirate Movie,1.0155,4,5.6
445,11/13/2017,12.0,309810,Carmilla: The Movie,1.015219,0,0.0
446,3/29/1995,80.0,11918,Redeem Her Honor,1.014832,0,0.0
447,10/1/2010,35.0,137106,Khichdi: The Movie,1.0147,3,2.7
448,9/18/2012,99.0,4257,Pizza! The Movie,1.014137,0,0.0
449,9/27/2006,,22797,The Last Porn Movie,1.014023,0,0.0
450,10/20/2009,18.0,35,Grown Up Movie Star,1.013665,7,5.5
451,6/1/2014,12.0,226,The Movie Quest,1.013608,0,0.0
452,9/23/2016,35.0,2631,Total Frat Movie,1.013306,2,5.0
453,9/20/2009,27.0,10073,Momok The Movie,1.011727,0,0.0
454,8/19/2005,16.0,416252,The Proud Family Movie,1.011028,10,4.2
455,10/29/2015,53.0,11836,Fifteen: Periscope Movie,1.010863,0,0.0
456,5/5/2011,16.0,85420,Little Johnny The Movie,1.010592,5,5.3
457,4/3/2013,18.0,13805,Crimi Clowns: De Movie,1.010475,4,6.0
458,4/1/2016,27.0,4258,Bad Blood: The Movie,1.010217,1,4.0
459,7/15/2015,35.0,2355,Eminem VEVO: The Movie,1.009849,0,0.0
460,6/12/2015,,4247,Vice City: The Movie,1.009794,0,0.0
461,4/4/2008,18.0,87818,Degrassi Spring Break Movie,1.009778,1,8.0
462,5/22/2015,10751.0,5559,Friday Download: The Movie,1.009428,3,5.0
463,3/3/2004,35.0,153518,See This Movie,1.009153,0,0.0
464,5/24/2016,99.0,324849,Hummus! the Movie,1.009117,1,10.0
465,6/8/2016,,309810,Badman The Movie,1.008419,0,0.0
466,7/24/2014,35.0,11918,Bajaj Bajuri: The Movie,1.008139,1,6.0
467,3/31/2006,28.0,137106,The Dudesons Movie,1.008126,7,4.2
468,1/23/2016,35.0,4257,Pure Pwnage: Teh Movie,1.007923,4,8.0
469,5/14/2016,,22797,Broadmead the Movie,1.007588,0,0.0
470,11/11/2015,99.0,35,Tose: The Movie,1.007419,0,0.0
471,1/1/2003,99.0,226,Gumball 3000: The Movie,1.007398,0,0.0
472,10/3/2015,18.0,2631,YOLO: The Movie,1.00678,1,8.0
473,5/14/1988,9648.0,10073,Midnight Movie Massacre,1.00675,2,5.5
474,5/21/1999,16.0,416252,Pokémon: The Movie 2000,1.006747,3,5.3
475,8/10/2015,99.0,11836,No Home Movie,1.006571,5,8.4
476,,,85420,Trailer: The Movie,1.006525,0,0.0
477,3/4/1997,35.0,13805,Toxic Crusaders: The Movie,1.006197,1,2.0
478,4/1/2010,10751.0,4258,Church: The Movie,1.006132,0,0.0
479,11/30/2012,35.0,2355,The Movie Out Here,1.005762,1,2.0
480,3/31/2014,27.0,4247,Precocious Movie Kids,1.005519,0,0.0
481,3/8/2014,16.0,87818,Doraemon the Movie: Nobita in the New Haunts of Evil -Peko and the Five Explorers-,1.005519,2,9.5
482,9/19/2012,16.0,5559,Greeny Phatom The Movie,1.005445,0,0.0
483,8/29/2014,35.0,153518,Swearnet: The Movie,1.005433,10,5.2
484,3/4/2006,35.0,324849,The American Poop Movie,1.00539,3,3.7
485,10/28/2015,99.0,309810,Moto 7: The Movie,1.005359,1,6.5
486,12/25/2015,35.0,11918,Short Movie 2,1.005157,0,0.0
487,5/11/2007,,137106,Puberty: The Movie,1.00512,0,0.0
488,10/4/2013,,4257,My First Movie,1.005103,0,0.0
489,8/7/2001,16.0,22797,The Little Bear Movie,1.00479,2,6.0
490,5/13/2015,35.0,35,Epen Cupen the Movie,1.004715,0,0.0
491,11/5/2015,99.0,226,Pin Up! The Movie,1.004715,0,0.0
492,,,2631,Bounumentary: The Movie,1.0045,0,0.0
493,7/21/2011,99.0,10073,Fix: The Ministry Movie,1.004488,0,0.0
494,7/17/2015,18.0,416252,Bioscope (Marathi Movie),1.004371,0,0.0
495,9/26/2015,,11836,Gangsta Walking the Movie ,1.004294,0,0.0
496,12/9/2014,,85420,Prime: The Wake Movie,1.004269,0,0.0
497,1/1/2012,99.0,13805,Immersion the Movie,1.004031,0,0.0
498,5/19/2011,18.0,4258,Nur Kasih The Movie,1.003878,2,4.8
499,1/1/1981,99.0,2355,New York Beat Movie,1.003865,5,7.4
