release_date,genre_ids,id,title,popularity,vote_count,vote_average
69,5/31/1979,12.0,22797,The Muppet Movie,1.71196,136,7.1
70,8/7/2015,28.0,35,Boruto: Naruto the Movie,1.705197,105,7.8
71,3/16/2003,16.0,226,Piglet's Big Movie,1.468433,47,6.0
72,8/12/2011,35.0,2631,The PHD movie,1.111871,5,6.7
73,10/24/2008,27.0,10073,Midnight Movie,1.127339,12,5.6
74,5/23/2014,12.0,416252,Postman Pat: The Movie,1.678113,14,5.1
75,1/23/2008,35.0,11836,The Best Movie,1.215872,7,2.7
76,4/6/2013,18.0,85420,The Rakugo Movie,1.21337,0,0.0
77,8/11/2011,99.0,13805,Glee: The Concert Movie,1.661574,61,6.5
78,6/24/1983,18.0,4258,Twilight Zone: The Movie,1.643298,105,6.3
79,7/29/2011,35.0,2355,Horrid Henry: The Movie,1.615615,18,6.9
80,1/26/2017,80.0,4247,Breaking Bad: The Movie,1.6,1,10.0
81,7/8/2000,12.0,87818,Pokémon: Spell of the Unown,1.596405,89,5.7
82,12/3/2014,10751.0,5559,Corner Gas: The Movie,1.166274,14,5.5
83,4/9/1992,,153518,Robert's Movie,1.000003,0,0.0
84,7/10/2008,18.0,324849,Home Movie,1.057151,28,5.3
85,3/13/1983,12.0,309810,Aesop's Fables Movie,1.00405,0,0.0
86,1/20/2001,28.0,11918,Shenmue: The Movie,1.000837,2,4.0
87,,,137106,Movie error,1.045,0,0.0
88,9/21/2017,28.0,4257,The LEGO Ninjago Movie,1.545166,2,0.0
89,11/19/2010,,22797,Liefling The Movie,1.133616,3,4.7
90,10/18/2002,,35,Road Movie,1.023138,2,6.0
91,4/27/2003,35.0,226,15: The Movie,1.022987,6,4.6
92,12/15/1977,99.0,2631,ABBA - The Movie,1.371999,12,6.3
93,7/14/1984,878.0,10073,Choudenshi Bioman: The Movie,1.123225,0,0.0
94,3/26/1999,16.0,416252,Doug's 1st Movie,1.319626,17,5.2
95,12/25/2013,10751.0,11836,Sune på bilsemester,1.115009,3,4.2
96,8/10/1978,53.0,85420,Blue Movie,1.0222,2,5.5
97,1/1/2012,,13805,b movie,1.021711,0,0.0
98,6/14/1969,,4258,Blue Movie,1.020327,2,6.5
99,12/15/2007,16.0,2355,Tamagotchi: The Movie,1.004476,1,5.0
100,12/28/2012,99.0,4247,Genius - The Movie,1.003956,1,10.0
101,8/12/2006,,87818,The Movie Tokyo Friends: The Movie,1.003444,1,8.0
102,11/29/2012,27.0,5559,Knock - The Movie,1.003366,0,0.0
103,1/1/2014,,153518,Bombay Movie,1.016221,0,0.0
104,3/4/2006,16.0,324849,Dieter - The Movie,1.001416,6,3.0
105,6/6/2006,16.0,309810,Flag: Issenman no kufura no kiroku,1.000878,3,4.2
106,12/26/1994,,11918,Midnight Movie,1.014841,0,0.0
107,11/25/1998,35.0,137106,Beach Movie,1.01314,1,6.0
108,10/27/2017,35.0,4257,Movie Dudes,1.012026,0,0.0
109,11/27/1981,35.0,22797,Number Please? The Movie,1.1,0,0.0
110,4/14/1990,,35,Ultra Q: The Movie,1.0993,0,0.0
111,1/1/1979,,226,Disaster Movie,1.010125,0,0.0
112,1/1/1992,35.0,2631,Movie Madness,1.009,0,0.0
113,7/4/1931,35.0,10073,Movie-Town,1.023508,0,0.0
114,10/25/2005,27.0,416252,Zombie Movie,1.005616,4,6.8
